Project Name,Departments,Description,Teams,DRI 2,People,Start Date,End Date,Company Key Result,Department Key Results
Build Resource Optimization V1 Product,Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),,AI2 (SRO) (https://www.notion.so/AI2-SRO-31a0d12e7cbd8062870dd6909eb77d8a?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),"December 1, 2025","May 31, 2026","20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21)",[Placeholder for ENG] (https://www.notion.so/Placeholder-for-ENG-3190d12e7cbd80c8904ce655638b2450?pvs=21)
Build Resource Optimization  V2 Product,Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),,AI2 (SRO) (https://www.notion.so/AI2-SRO-31a0d12e7cbd8062870dd6909eb77d8a?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),"June 1, 2026","September 30, 2026","20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21)",[Placeholder for ENG] (https://www.notion.so/Placeholder-for-ENG-3190d12e7cbd80c8904ce655638b2450?pvs=21)
Build AI-Equity-Product (Pulley Conversational AI),Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),,AI1 (Equity Intelligence) (https://www.notion.so/AI1-Equity-Intelligence-31a0d12e7cbd8094a567f51791820a28?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),"January 1, 2026","March 31, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),[Placeholder for ENG] (https://www.notion.so/Placeholder-for-ENG-3190d12e7cbd80c8904ce655638b2450?pvs=21)
Drive Unified AI Platform across Equity-AI and V1/V2,Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),,AI2 (SRO) (https://www.notion.so/AI2-SRO-31a0d12e7cbd8062870dd6909eb77d8a?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),"November 10, 2025","March 31, 2026","20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21)",[Placeholder for ENG] (https://www.notion.so/Placeholder-for-ENG-3190d12e7cbd80c8904ce655638b2450?pvs=21)
"Deliver Top Platform Initiatives to Optimize Fit & Increase Quality for target Growth Stage Customers ",Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),,Platform (https://www.notion.so/Platform-3260d12e7cbd80e8bbe7c28c5baf7092?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),"January 6, 2026","June 30, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"Performance quality metric [TBD] (https://www.notion.so/Performance-quality-metric-TBD-3190d12e7cbd80b39daecd365212d494?pvs=21), Product quality [TBD] (https://www.notion.so/Product-quality-TBD-3260d12e7cbd80778bf0ee876fb2f07c?pvs=21)"
Establish Product Analytics for Detailed Visibility Across Products,Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),,Platform (https://www.notion.so/Platform-3260d12e7cbd80e8bbe7c28c5baf7092?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),"November 18, 2025","March 31, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"Performance quality metric [TBD] (https://www.notion.so/Performance-quality-metric-TBD-3190d12e7cbd80b39daecd365212d494?pvs=21), Product quality [TBD] (https://www.notion.so/Product-quality-TBD-3260d12e7cbd80778bf0ee876fb2f07c?pvs=21)"
Create a Partner Public API,Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),,Platform (https://www.notion.so/Platform-3260d12e7cbd80e8bbe7c28c5baf7092?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),"January 5, 2026","November 3, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"Performance quality metric [TBD] (https://www.notion.so/Performance-quality-metric-TBD-3190d12e7cbd80b39daecd365212d494?pvs=21), Product quality [TBD] (https://www.notion.so/Product-quality-TBD-3260d12e7cbd80778bf0ee876fb2f07c?pvs=21)"
Sunset and transition crypto customers while preserving trust,Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),,Platform (https://www.notion.so/Platform-3260d12e7cbd80e8bbe7c28c5baf7092?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),"December 1, 2025","June 1, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"Performance quality metric [TBD] (https://www.notion.so/Performance-quality-metric-TBD-3190d12e7cbd80b39daecd365212d494?pvs=21), Product quality [TBD] (https://www.notion.so/Product-quality-TBD-3260d12e7cbd80778bf0ee876fb2f07c?pvs=21)"
Separate Auth Service,Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),,Platform (https://www.notion.so/Platform-3260d12e7cbd80e8bbe7c28c5baf7092?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),"January 1, 2026","April 30, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"Performance quality metric [TBD] (https://www.notion.so/Performance-quality-metric-TBD-3190d12e7cbd80b39daecd365212d494?pvs=21), Product quality [TBD] (https://www.notion.so/Product-quality-TBD-3260d12e7cbd80778bf0ee876fb2f07c?pvs=21)"
"Reduce adminify editing needs and move to productized, auditable flows",Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),,Platform (https://www.notion.so/Platform-3260d12e7cbd80e8bbe7c28c5baf7092?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),"March 2, 2026","March 27, 2026",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),"Performance quality metric [TBD] (https://www.notion.so/Performance-quality-metric-TBD-3190d12e7cbd80b39daecd365212d494?pvs=21), Product quality [TBD] (https://www.notion.so/Product-quality-TBD-3260d12e7cbd80778bf0ee876fb2f07c?pvs=21)"