Project Name,Departments,Description,Teams,People,DRI 2,Start Date,End Date,Department Key Results,Company Key Result
Marketing project placeholder for project [Deliver Top 3-4 App Initiatives / Quarter to Optimize Fit for target Growth Stage Customers],Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"February 2, 2026","December 31, 2026","Mid market - increasing mid market ACV to 10k (https://www.notion.so/Mid-market-increasing-mid-market-ACV-to-10k-3180d12e7cbd802eb8f8f34645ae3c3f?pvs=21), Mid market - 88 growth marketing opportunities (https://www.notion.so/Mid-market-88-growth-marketing-opportunities-3190d12e7cbd807aa7c9cbf29afda463?pvs=21), Mid market - 261 variable capture opportunities (https://www.notion.so/Mid-market-261-variable-capture-opportunities-3180d12e7cbd80bc9f92fb0dc2c773c2?pvs=21)",Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21)
"Create one flagship piece of pillar content (Annual report, state of…, etc.)",Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"March 1, 2026","April 30, 2026","Mid market - increasing mid market ACV to 10k (https://www.notion.so/Mid-market-increasing-mid-market-ACV-to-10k-3180d12e7cbd802eb8f8f34645ae3c3f?pvs=21), Mid market - 88 growth marketing opportunities (https://www.notion.so/Mid-market-88-growth-marketing-opportunities-3190d12e7cbd807aa7c9cbf29afda463?pvs=21), Mid market - 261 variable capture opportunities (https://www.notion.so/Mid-market-261-variable-capture-opportunities-3180d12e7cbd80bc9f92fb0dc2c773c2?pvs=21)",Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21)
Stand up intake process for Sales requests to support deals [Approved],Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"January 5, 2026","January 16, 2026","Overall - 1890 owned opportunities within ESV (https://www.notion.so/Overall-1890-owned-opportunities-within-ESV-3180d12e7cbd80858612f36d8430c35d?pvs=21), Overall - 762 Growth marketing opportunities (https://www.notion.so/Overall-762-Growth-marketing-opportunities-3180d12e7cbd8038a63bd68a730b9055?pvs=21), Overall - 2000 Variable capture opportunities  (https://www.notion.so/Overall-2000-Variable-capture-opportunities-3180d12e7cbd8018826aed3b5ef81942?pvs=21)",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21)
Create an always-on content distribution system to acquire growth-stage equity customers,Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),Sourcing and production of the content alone is not enough to maximize our value.  We need to thoughtfully and proactively find ways to distribute our newly developed content to maximize its impact.,Marketing - Growth Marketing (https://www.notion.so/Marketing-Growth-Marketing-3190d12e7cbd803ab6e6e36f0088e90c?pvs=21),TBH-Senior Content Strategist (https://www.notion.so/TBH-Senior-Content-Strategist-31a0d12e7cbd80ada732f2639774f306?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"June 1, 2026","December 31, 2026","Mid market - increasing mid market ACV to 10k (https://www.notion.so/Mid-market-increasing-mid-market-ACV-to-10k-3180d12e7cbd802eb8f8f34645ae3c3f?pvs=21), Mid market - 88 growth marketing opportunities (https://www.notion.so/Mid-market-88-growth-marketing-opportunities-3190d12e7cbd807aa7c9cbf29afda463?pvs=21), Mid market - 261 variable capture opportunities (https://www.notion.so/Mid-market-261-variable-capture-opportunities-3180d12e7cbd80bc9f92fb0dc2c773c2?pvs=21)",Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21)
Segmentation Framework Definition / Market Mapping,Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"January 5, 2026","February 6, 2026","Mid market - increasing mid market ACV to 10k (https://www.notion.so/Mid-market-increasing-mid-market-ACV-to-10k-3180d12e7cbd802eb8f8f34645ae3c3f?pvs=21), Mid market - 88 growth marketing opportunities (https://www.notion.so/Mid-market-88-growth-marketing-opportunities-3190d12e7cbd807aa7c9cbf29afda463?pvs=21), Mid market - 261 variable capture opportunities (https://www.notion.so/Mid-market-261-variable-capture-opportunities-3180d12e7cbd80bc9f92fb0dc2c773c2?pvs=21)",Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21)
Launch AI-Equity-Product,Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"January 5, 2026","March 31, 2026","Overall - 2000 Variable capture opportunities  (https://www.notion.so/Overall-2000-Variable-capture-opportunities-3180d12e7cbd8018826aed3b5ef81942?pvs=21), Overall - 762 Growth marketing opportunities (https://www.notion.so/Overall-762-Growth-marketing-opportunities-3180d12e7cbd8038a63bd68a730b9055?pvs=21), Overall - 1890 owned opportunities within ESV (https://www.notion.so/Overall-1890-owned-opportunities-within-ESV-3180d12e7cbd80858612f36d8430c35d?pvs=21)",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21)
"Launch V2 Product ",Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"June 1, 2026","December 31, 2026","2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd8012adcccb7f5cf0a628?pvs=21), 1000 Waitlisted Leads - 200 level ICP fit sign ups (https://www.notion.so/1000-Waitlisted-Leads-200-level-ICP-fit-sign-ups-3180d12e7cbd806799a3e2ea0b51b611?pvs=21)","2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21)"
"Launch V1 Product ",Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"January 5, 2026","September 30, 2026","2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd8012adcccb7f5cf0a628?pvs=21), 1000 Waitlisted Leads - 200 level ICP fit sign ups (https://www.notion.so/1000-Waitlisted-Leads-200-level-ICP-fit-sign-ups-3180d12e7cbd806799a3e2ea0b51b611?pvs=21)","2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21)"
Build a customer advocacy program,Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"January 1, 2026","December 31, 2026","Overall - 1890 owned opportunities within ESV (https://www.notion.so/Overall-1890-owned-opportunities-within-ESV-3180d12e7cbd80858612f36d8430c35d?pvs=21), Overall - 762 Growth marketing opportunities (https://www.notion.so/Overall-762-Growth-marketing-opportunities-3180d12e7cbd8038a63bd68a730b9055?pvs=21), Overall - 2000 Variable capture opportunities  (https://www.notion.so/Overall-2000-Variable-capture-opportunities-3180d12e7cbd8018826aed3b5ef81942?pvs=21)",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21)
Create standard trigger for comms plan to reach current customer base,Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"June 1, 2026","June 29, 2026","Overall - 2000 Variable capture opportunities  (https://www.notion.so/Overall-2000-Variable-capture-opportunities-3180d12e7cbd8018826aed3b5ef81942?pvs=21), Overall - 762 Growth marketing opportunities (https://www.notion.so/Overall-762-Growth-marketing-opportunities-3180d12e7cbd8038a63bd68a730b9055?pvs=21), Overall - 1890 owned opportunities within ESV (https://www.notion.so/Overall-1890-owned-opportunities-within-ESV-3180d12e7cbd80858612f36d8430c35d?pvs=21)",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21)
Launch new Solution offering (tier 1 or 2),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"September 1, 2026","December 31, 2026","2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd8012adcccb7f5cf0a628?pvs=21), 1000 Waitlisted Leads - 200 level ICP fit sign ups (https://www.notion.so/1000-Waitlisted-Leads-200-level-ICP-fit-sign-ups-3180d12e7cbd806799a3e2ea0b51b611?pvs=21)","Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21), 20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21)"
Release and launch service that support growth stage service customers (Service 1),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"March 1, 2026","March 6, 2026","Mid market - 88 growth marketing opportunities (https://www.notion.so/Mid-market-88-growth-marketing-opportunities-3190d12e7cbd807aa7c9cbf29afda463?pvs=21), Mid market - 261 variable capture opportunities (https://www.notion.so/Mid-market-261-variable-capture-opportunities-3180d12e7cbd80bc9f92fb0dc2c773c2?pvs=21), Mid market - increasing mid market ACV to 10k (https://www.notion.so/Mid-market-increasing-mid-market-ACV-to-10k-3180d12e7cbd802eb8f8f34645ae3c3f?pvs=21)",Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21)
Stand up recurring product newsletters (by segment) & provide consistent support for release comms,Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"January 5, 2026","December 31, 2026","Overall - 1890 owned opportunities within ESV (https://www.notion.so/Overall-1890-owned-opportunities-within-ESV-3180d12e7cbd80858612f36d8430c35d?pvs=21), Overall - 762 Growth marketing opportunities (https://www.notion.so/Overall-762-Growth-marketing-opportunities-3180d12e7cbd8038a63bd68a730b9055?pvs=21), Overall - 2000 Variable capture opportunities  (https://www.notion.so/Overall-2000-Variable-capture-opportunities-3180d12e7cbd8018826aed3b5ef81942?pvs=21)",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21)
Build a lifecycle marketing program that meaningfully boosts customer retention,Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),"Lifecycle marketing is an essential function of any modern marketing efforts, and one of our most effective methods of improving customer retention and customer lifetime value.  ",Marketing - Growth Marketing (https://www.notion.so/Marketing-Growth-Marketing-3190d12e7cbd803ab6e6e36f0088e90c?pvs=21),TBH-Lifecycle Marketing Manager (https://www.notion.so/TBH-Lifecycle-Marketing-Manager-31a0d12e7cbd80ff84a4e70f2ddc1674?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"April 6, 2026","July 3, 2026","Overall - 2000 Variable capture opportunities  (https://www.notion.so/Overall-2000-Variable-capture-opportunities-3180d12e7cbd8018826aed3b5ef81942?pvs=21), Overall - 762 Growth marketing opportunities (https://www.notion.so/Overall-762-Growth-marketing-opportunities-3180d12e7cbd8038a63bd68a730b9055?pvs=21), Overall - 1890 owned opportunities within ESV (https://www.notion.so/Overall-1890-owned-opportunities-within-ESV-3180d12e7cbd80858612f36d8430c35d?pvs=21)",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21)
Research and document expanded buyer personas,Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),…,Marketing - PMM (https://www.notion.so/Marketing-PMM-3190d12e7cbd80388534db886c3afd8c?pvs=21),Owen Bitas (https://www.notion.so/Owen-Bitas-3190d12e7cbd804a86c8fd5ca1ef7228?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"January 5, 2026","March 6, 2026","Mid market - increasing mid market ACV to 10k (https://www.notion.so/Mid-market-increasing-mid-market-ACV-to-10k-3180d12e7cbd802eb8f8f34645ae3c3f?pvs=21), Mid market - 261 variable capture opportunities (https://www.notion.so/Mid-market-261-variable-capture-opportunities-3180d12e7cbd80bc9f92fb0dc2c773c2?pvs=21), Mid market - 88 growth marketing opportunities (https://www.notion.so/Mid-market-88-growth-marketing-opportunities-3190d12e7cbd807aa7c9cbf29afda463?pvs=21)",Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21)
Build a Nurture Strategy for Growth Stage Pipeline Prospects,Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),,Marketing - Growth Marketing (https://www.notion.so/Marketing-Growth-Marketing-3190d12e7cbd803ab6e6e36f0088e90c?pvs=21),Tony Doucet (https://www.notion.so/Tony-Doucet-3190d12e7cbd8096bce5da1ab20c5a36?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),"July 6, 2026","October 9, 2026","Overall - 762 Growth marketing opportunities (https://www.notion.so/Overall-762-Growth-marketing-opportunities-3180d12e7cbd8038a63bd68a730b9055?pvs=21), Mid market - 88 growth marketing opportunities (https://www.notion.so/Mid-market-88-growth-marketing-opportunities-3190d12e7cbd807aa7c9cbf29afda463?pvs=21)",Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21)